sno,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
74,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.127
75,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663
76,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.6
77,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11
78,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167
79,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.143
80,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328506
81,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.7
82,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66
83,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.023
84,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.982
85,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9
86,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073
87,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.62
88,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.393
89,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.708
90,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.3
91,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535155
92,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.63
93,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.978
94,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.671
95,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.7
96,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630585
97,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.7
98,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.23
99,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.044
100,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.7
101,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283
102,andhra-pradesh,2018,1,Merchant payments,362672,247297640.2
103,andhra-pradesh,2018,1,Financial Services,204305,44808449.76
104,andhra-pradesh,2018,1,Others,395514,287626043
105,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488
106,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493099
107,andhra-pradesh,2018,2,Merchant payments,604847,436785223.9
108,andhra-pradesh,2018,2,Financial Services,225621,68952114.81
109,andhra-pradesh,2018,2,Others,322063,328092346.6
110,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630445
111,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098147
112,andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5
113,andhra-pradesh,2018,3,Financial Services,380324,60790077.57
114,andhra-pradesh,2018,3,Others,348725,284248675.6
115,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726
116,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314
117,andhra-pradesh,2018,4,Merchant payments,2622131,1671585889
118,andhra-pradesh,2018,4,Financial Services,400837,57178116.4
119,andhra-pradesh,2018,4,Others,389411,315211361.3
120,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742
121,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602
122,andhra-pradesh,2019,1,Merchant payments,5043682,2423536770
123,andhra-pradesh,2019,1,Financial Services,416325,47150177.53
124,andhra-pradesh,2019,1,Others,361263,284937624.5
125,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,1.03925E+11
126,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345388
127,andhra-pradesh,2019,2,Merchant payments,9226537,4613405203
128,andhra-pradesh,2019,2,Financial Services,145310,26626696.77
129,andhra-pradesh,2019,2,Others,448802,361492238.4
130,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,1.24339E+11
131,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984677
132,andhra-pradesh,2019,3,Merchant payments,16581787,7887394038
133,andhra-pradesh,2019,3,Financial Services,122270,29778183.03
134,andhra-pradesh,2019,3,Others,413437,298142027.6
135,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,1.78894E+11
136,andhra-pradesh,2019,4,Merchant payments,25122370,13476303368
137,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168606
138,andhra-pradesh,2019,4,Financial Services,105662,26796571.75
139,andhra-pradesh,2019,4,Others,338672,216496893.2
140,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,2.23089E+11
141,andhra-pradesh,2020,1,Merchant payments,31408022,18603161784
142,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530778
143,andhra-pradesh,2020,1,Financial Services,75238,43739133.17
144,andhra-pradesh,2020,1,Others,292310,188228538.4
145,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,2.62732E+11
146,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006437
147,andhra-pradesh,2020,2,Merchant payments,29976765,22625596525
148,andhra-pradesh,2020,2,Financial Services,140941,145274999.2
149,andhra-pradesh,2020,2,Others,176241,90087654.6
150,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,4.06462E+11
151,andhra-pradesh,2020,3,Merchant payments,54055557,40739580214
152,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104675
153,andhra-pradesh,2020,3,Financial Services,243088,256074924.7
