sno,State,Year,Quarter,brands,Count,Percentage
0,andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.247032641
1,andaman-&-nicobar-islands,2018,1,Samsung,1445,0.214391691
2,andaman-&-nicobar-islands,2018,1,Vivo,982,0.145697329
3,andaman-&-nicobar-islands,2018,1,Oppo,501,0.074332344
4,andaman-&-nicobar-islands,2018,1,OnePlus,332,0.04925816
5,andaman-&-nicobar-islands,2018,1,Realme,316,0.046884273
6,andaman-&-nicobar-islands,2018,1,Apple,229,0.033976261
7,andaman-&-nicobar-islands,2018,1,Motorola,226,0.033531157
8,andaman-&-nicobar-islands,2018,1,Lenovo,202,0.029970326
9,andaman-&-nicobar-islands,2018,1,Huawei,158,0.023442136
10,andaman-&-nicobar-islands,2018,1,Others,684,0.10148368
11,andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.24486975
12,andaman-&-nicobar-islands,2018,2,Samsung,1923,0.20446571
13,andaman-&-nicobar-islands,2018,2,Vivo,1523,0.161935141
14,andaman-&-nicobar-islands,2018,2,Oppo,708,0.075279107
15,andaman-&-nicobar-islands,2018,2,OnePlus,466,0.049548113
16,andaman-&-nicobar-islands,2018,2,Realme,465,0.049441786
17,andaman-&-nicobar-islands,2018,2,Motorola,319,0.033918129
18,andaman-&-nicobar-islands,2018,2,Apple,308,0.032748538
19,andaman-&-nicobar-islands,2018,2,Lenovo,244,0.025943647
20,andaman-&-nicobar-islands,2018,2,Huawei,230,0.024455077
21,andaman-&-nicobar-islands,2018,2,Others,916,0.097395003
22,andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.242818339
23,andaman-&-nicobar-islands,2018,3,Samsung,2409,0.198287925
24,andaman-&-nicobar-islands,2018,3,Vivo,2063,0.169808215
25,andaman-&-nicobar-islands,2018,3,Oppo,988,0.081323566
26,andaman-&-nicobar-islands,2018,3,OnePlus,617,0.050786073
27,andaman-&-nicobar-islands,2018,3,Realme,603,0.049633715
28,andaman-&-nicobar-islands,2018,3,Motorola,390,0.032101408
29,andaman-&-nicobar-islands,2018,3,Apple,371,0.030537493
